frame,timestamp_sec,pixel_height,frame_height,detected
0,0.000,317.0,1080,Yes
1,0.042,305.6,1080,Yes
2,0.083,298.9,1080,Yes
3,0.125,210.5,1080,Yes
4,0.167,267.9,1080,Yes
5,0.209,268.2,1080,Yes
6,0.250,140.2,1080,Yes
7,0.292,36.6,1080,Yes
8,0.334,18.2,1080,Yes
9,0.375,24.3,1080,Yes
10,0.417,45.5,1080,Yes
11,0.459,109.4,1080,Yes
12,0.500,213.8,1080,Yes
13,0.542,236.7,1080,Yes
14,0.584,149.2,1080,Yes
15,0.626,83.9,1080,Yes
16,0.667,10.7,1080,Yes
17,0.709,26.6,1080,Yes
18,0.751,40.7,1080,Yes
19,0.792,141.1,1080,Yes
20,0.834,213.2,1080,Yes
21,0.876,249.1,1080,Yes
22,0.918,193.4,1080,Yes
23,0.959,91.1,1080,Yes
24,1.001,11.7,1080,Yes
25,1.043,10.3,1080,Yes
26,1.084,29.6,1080,Yes
27,1.126,77.0,1080,Yes
28,1.168,184.5,1080,Yes
29,1.210,240.8,1080,Yes
30,1.251,184.4,1080,Yes
31,1.293,104.4,1080,Yes
32,1.335,9.6,1080,Yes
33,1.376,23.7,1080,Yes
34,1.418,20.7,1080,Yes
35,1.460,135.4,1080,Yes
36,1.501,192.7,1080,Yes
37,1.543,237.6,1080,Yes
38,1.585,199.4,1080,Yes
39,1.627,116.6,1080,Yes
40,1.668,14.2,1080,Yes
41,1.710,18.6,1080,Yes
42,1.752,7.7,1080,Yes
43,1.793,67.6,1080,Yes
44,1.835,157.6,1080,Yes
45,1.877,240.5,1080,Yes
46,1.919,244.4,1080,Yes
47,1.960,125.5,1080,Yes
48,2.002,37.0,1080,Yes
49,2.044,17.6,1080,Yes
50,2.085,5.7,1080,Yes
51,2.127,84.1,1080,Yes
52,2.169,187.4,1080,Yes
53,2.211,239.2,1080,Yes
54,2.252,256.1,1080,Yes
55,2.294,167.5,1080,Yes
56,2.336,48.9,1080,Yes
57,2.377,0.4,1080,Yes
58,2.419,4.8,1080,Yes
59,2.461,56.2,1080,Yes
60,2.502,117.8,1080,Yes
61,2.544,223.0,1080,Yes
62,2.586,262.9,1080,Yes
63,2.628,179.6,1080,Yes
64,2.669,96.5,1080,Yes
65,2.711,3.2,1080,Yes
66,2.753,9.4,1080,Yes
67,2.794,64.3,1080,Yes
68,2.836,172.5,1080,Yes
69,2.878,219.9,1080,Yes
70,2.920,228.4,1080,Yes
71,2.961,208.1,1080,Yes
72,3.003,104.7,1080,Yes
73,3.045,10.5,1080,Yes
74,3.086,5.9,1080,Yes
75,3.128,29.2,1080,Yes
76,3.170,63.9,1080,Yes
77,3.212,193.9,1080,Yes
78,3.253,252.2,1080,Yes
79,3.295,223.4,1080,Yes
80,3.337,243.0,1080,Yes
81,3.378,28.4,1080,Yes
82,3.420,16.7,1080,Yes
83,3.462,20.3,1080,Yes
84,3.503,97.7,1080,Yes
85,3.545,181.7,1080,Yes
86,3.587,270.4,1080,Yes
87,3.629,245.4,1080,Yes
88,3.670,153.4,1080,Yes
89,3.712,36.6,1080,Yes
90,3.754,11.3,1080,Yes
91,3.795,6.7,1080,Yes
92,3.837,74.2,1080,Yes
93,3.879,152.6,1080,Yes
94,3.921,244.5,1080,Yes
95,3.962,282.2,1080,Yes
96,4.004,207.7,1080,Yes
97,4.046,124.5,1080,Yes
98,4.087,19.1,1080,Yes
99,4.129,10.4,1080,Yes
100,4.171,60.7,1080,Yes
101,4.213,179.3,1080,Yes
102,4.254,226.0,1080,Yes
103,4.296,245.0,1080,Yes
104,4.338,221.6,1080,Yes
105,4.379,96.9,1080,Yes
106,4.421,10.1,1080,Yes
107,4.463,16.4,1080,Yes
108,4.504,49.8,1080,Yes
109,4.546,74.2,1080,Yes
110,4.588,221.2,1080,Yes
111,4.630,263.1,1080,Yes
112,4.671,219.2,1080,Yes
113,4.713,141.0,1080,Yes
114,4.755,19.1,1080,Yes
115,4.796,31.1,1080,Yes
116,4.838,32.6,1080,Yes
117,4.880,103.8,1080,Yes
118,4.922,265.0,1080,Yes
119,4.963,275.7,1080,Yes
120,5.005,226.7,1080,Yes
121,5.047,146.1,1080,Yes
122,5.088,27.3,1080,Yes
123,5.130,18.9,1080,Yes
124,5.172,16.1,1080,Yes
125,5.214,77.4,1080,Yes
126,5.255,164.7,1080,Yes
127,5.297,242.3,1080,Yes
128,5.339,271.7,1080,Yes
129,5.380,280.6,1080,Yes
130,5.422,282.3,1080,Yes
131,5.464,5.2,1080,Yes
132,5.505,4.8,1080,Yes
133,5.547,58.1,1080,Yes
134,5.589,129.1,1080,Yes
135,5.631,294.3,1080,Yes
136,5.672,294.0,1080,Yes
137,5.714,230.3,1080,Yes
138,5.756,117.1,1080,Yes
139,5.797,27.7,1080,Yes
140,5.839,6.0,1080,Yes
141,5.881,72.8,1080,Yes
142,5.923,113.8,1080,Yes
143,5.964,228.4,1080,Yes
144,6.006,283.2,1080,Yes
145,6.048,255.5,1080,Yes
146,6.089,206.8,1080,Yes
147,6.131,72.3,1080,Yes
148,6.173,5.0,1080,Yes
149,6.215,40.5,1080,Yes
150,6.256,106.8,1080,Yes
151,6.298,122.3,1080,Yes
152,6.340,286.4,1080,Yes
153,6.381,307.8,1080,Yes
154,6.423,213.4,1080,Yes
155,6.465,89.5,1080,Yes
156,6.506,13.1,1080,Yes
157,6.548,15.4,1080,Yes
158,6.590,84.0,1080,Yes
159,6.632,92.3,1080,Yes
160,6.673,249.4,1080,Yes
161,6.715,293.6,1080,Yes
162,6.757,238.2,1080,Yes
163,6.798,111.4,1080,Yes
164,6.840,21.7,1080,Yes
165,6.882,4.0,1080,Yes
166,6.924,62.3,1080,Yes
167,6.965,127.3,1080,Yes
168,7.007,266.9,1080,Yes
169,7.049,295.0,1080,Yes
170,7.090,234.2,1080,Yes
171,7.132,118.1,1080,Yes
172,7.174,21.2,1080,Yes
173,7.216,5.0,1080,Yes
174,7.257,52.6,1080,Yes
175,7.299,111.7,1080,Yes
176,7.341,213.9,1080,Yes
177,7.382,278.7,1080,Yes
178,7.424,233.1,1080,Yes
179,7.466,126.8,1080,Yes
180,7.507,18.8,1080,Yes
181,7.549,13.0,1080,Yes
182,7.591,19.3,1080,Yes
183,7.633,100.9,1080,Yes
184,7.674,186.0,1080,Yes
185,7.716,272.1,1080,Yes
186,7.758,233.3,1080,Yes
187,7.799,134.4,1080,Yes
188,7.841,27.7,1080,Yes
189,7.883,14.6,1080,Yes
190,7.925,2.9,1080,Yes
191,7.966,65.6,1080,Yes
192,8.008,147.2,1080,Yes
193,8.050,243.5,1080,Yes
194,8.091,266.9,1080,Yes
195,8.133,210.1,1080,Yes
196,8.175,47.1,1080,Yes
197,8.217,10.9,1080,Yes
198,8.258,4.6,1080,Yes
199,8.300,84.5,1080,Yes
200,8.342,244.1,1080,Yes
201,8.383,262.0,1080,Yes
202,8.425,272.7,1080,Yes
203,8.467,228.4,1080,Yes
204,8.508,69.8,1080,Yes
205,8.550,3.0,1080,Yes
206,8.592,3.4,1080,Yes
207,8.634,65.5,1080,Yes
208,8.675,68.0,1080,Yes
209,8.717,223.8,1080,Yes
210,8.759,279.5,1080,Yes
211,8.800,208.2,1080,Yes
212,8.842,80.0,1080,Yes
213,8.884,9.9,1080,Yes
214,8.926,18.3,1080,Yes
215,8.967,52.9,1080,Yes
216,9.009,190.1,1080,Yes
217,9.051,230.7,1080,Yes
218,9.092,261.2,1080,Yes
219,9.134,208.5,1080,Yes
220,9.176,68.2,1080,Yes
221,9.218,15.2,1080,Yes
222,9.259,18.3,1080,Yes
223,9.301,30.8,1080,Yes
224,9.343,48.6,1080,Yes
225,9.384,187.1,1080,Yes
226,9.426,256.3,1080,Yes
227,9.468,193.6,1080,Yes
228,9.509,265.2,1080,Yes
229,9.551,15.9,1080,Yes
230,9.593,17.4,1080,Yes
231,9.635,30.2,1080,Yes
232,9.676,105.2,1080,Yes
233,9.718,272.7,1080,Yes
234,9.760,273.5,1080,Yes
235,9.801,214.9,1080,Yes
236,9.843,128.7,1080,Yes
237,9.885,27.2,1080,Yes
238,9.927,3.6,1080,Yes
239,9.968,18.2,1080,Yes
240,10.010,89.7,1080,Yes
241,10.052,175.7,1080,Yes
242,10.093,259.1,1080,Yes
243,10.135,263.5,1080,Yes
244,10.177,205.2,1080,Yes
245,10.219,35.3,1080,Yes
246,10.260,12.5,1080,Yes
247,10.302,30.0,1080,Yes
248,10.344,107.4,1080,Yes
249,10.385,238.9,1080,Yes
250,10.427,261.1,1080,Yes
251,10.469,222.8,1080,Yes
252,10.510,127.8,1080,Yes
253,10.552,20.8,1080,Yes
254,10.594,23.6,1080,Yes
255,10.636,13.6,1080,Yes
256,10.677,58.1,1080,Yes
257,10.719,143.6,1080,Yes
258,10.761,229.8,1080,Yes
259,10.802,263.7,1080,Yes
260,10.844,250.3,1080,Yes
261,10.886,85.4,1080,Yes
262,10.928,2.4,1080,Yes
263,10.969,14.8,1080,Yes
264,11.011,62.3,1080,Yes
265,11.053,178.4,1080,Yes
266,11.094,227.3,1080,Yes
267,11.136,240.9,1080,Yes
268,11.178,211.6,1080,Yes
